	title	cluster
122	буво цодусз	0
123	гостраты	0
124	дирекция транспортного строительства	0
125	общество с ограниченной ответственностью сигма	4
126	тендер 	0
127	территориальная сервисная компания	0
128	фку упрдор тамань	0
129	фку упрдор тамань официальный сайт	0
130	газпромнефть корпоративные продажи	0
131	гбу автомобильные дороги вао официальный сайт	3
132	гбу жилищник района куркино официальный сайт	3
133	гку ампп телефон	0
134	мбу центр итс	0
135	общество с ограниченной ответственностью техносат	4
136	департамент автомобильных дорог краснодарского края официальный сайт	0
137	детский сад  воронеж официальный сайт	0
138	оквэд кпп	0
139	портал госзатраты	0
140	фку упрдор каспий	0
141	автономная некоммерческая организация дополнительного профессионального образования институт государственного управления	0
142	войсковая часть 	1
143	гку гускк краснодар официальный сайт	0
144	дирекция финансирования программ бдд	0
145	мбу благоустройство таганрог	0
146	мку административнотехническая инспекция челябинск	0
147	филиал  фгу  цвкг им аа вишневского минобороны россии	2
148	центр обеспечения граждан техническими средствами реабилитации ульяновск	0
149	ао строительное управление 	0
150	аукцион  поставка соли таблетированной буз во медсанчасть северсталь	0
151	гбу автомобильные дороги свао	3
152	гку рд дирекция единого государственного заказчиказастройщика	0
153	дирекция финансирования научных и образовательных программ бдд рт	0
154	ооо территориальная сервисная компания екатеринбург	0
155	спецтехуниверсал тамбов	0
156	управление тепловодоснабжения и водоотведения	0
157	фгбу  цнии минобороны россии официальный сайт	2
158	фгку  цнии минобороны россии	2
159	фку упрдор тамань	0
160		0
161	гбу автомобильные дороги юзао официальный сайт	3
162	гку укс самарской области официальный сайт	0
163	департамент земельных отношений и градостроительства тюмень	0
164	общество с ограниченной ответственностью балттранснефтепродукт	4
165	поликлиника  фтс нижний новгород	0
166	сло россия	2
167	фгбу дезз минздрава россии	2
168	фгбу северный эо аср мурманск	0
169	фку упрдор тамань вакансии	0
170	гбу здравоохранения иркутского ордена знак почта областная клиническая больница реквизиты	3
171	гбуз пк црб пмр муниципального района	0
172	госкомитет по охране животного мира и окружающей среды хакасии	0
173	мку единая служба заказчика краснодар	0
174	общество с ограниченной ответственностью слк	4
175	общество с ограниченной ответственностью спектр	4
176	санаторий анапа фсб россии	2
177	фгбу  цнии минобороны россии официальный сайт	2
178	фгбу управление самарамелиоводхоз	0
179	центр помощи детям оставшимся без попечения родителей г псков	0
180	безопасный регион ярославль	0
181	бюджеты регионов россии  таблица	2
182	гбу автомобильные дороги	3
183	департамент по недропользованию по центральносибирскому округу	0
184	наборы для закрытия пункционного отверстия   штуп	0
185	проект планировки северозападной части станицы должанской должанского сельского поселения ейского района	1
186	управление мосводосбыт филиал оао мосводоканал	0
187	фбу цсм калужской области	0
188	фку гу во минфина россии	2
189	фку упрдор тамань сайт	0
190	 цнии минобороны россии официальный сайт	2
191	вч 	0
192	гбу автомобильные дороги ювао официальный сайт	3
193	евро хоум билдинг	0
194	ип журавлев александр станиславович	0
195	код инн	0
196	ку рк управтодор рк	0
197	мбу защита и безопасность ростовнадону	0
198	мбу сду мо го воркута	0
199	мбу управление защиты от чс таганрог	0
200	мбу центр итс ростовнадону сайт	0
201	общество с ограниченной ответственностью комусристар	4
202	фгку вч 	0
203	войсковая часть 	1
204	дирекция транспортного строительства спб гу дтс официальный сайт	0
205	ип оболонина лариса викторовна	0
206	кубинская школа  имени ткаченко официальный сайт	0
207	мбу центр обеспечения самара	0
208	мку управление благоустройства кировского района г ростованадону	0
209	огкусо цог тср и скл и са для лиц бомж	0
210	спз организации	0
211	управление капитального строительства самарской области	0
212	федеральная служба по надзор в сфере почта связи кемеровской области	0
213	фку гб мсэ по г санктпетербургу минтруда россии	2
214	фку гу во минфина россии	2
215	фку упрдор тамань вакансии	0
216	войсковая часть 	1
217	войсковая часть 	1
218	гбу бниц по пчеловодству и апитерапии	3
219	гку дирекция финансирования научных и образовательных программ бдд рт	0
220	гку мо дирекция единого заказчика минсоцзащиты мо	0
221	ивановский железнодорожный колледж	0
222	кгку лесная охрана красноярский край	0
223	клеарспендинг	0
224	комусристар	0
225	мостотрест сервис	0
226	предметы роскоши по законодательству	0
227	упрдор кавказ	0
228	усрдис администрации гуфы официальный сайт	0
229	фблпу санаторий южный	0
230	фгбу комплекс крым	0
231	фгбу цас кемеровский	0
232		0
233	вч  что за часть	1
234	вч 	0
235	войсковая часть 	1
236	войсковая часть 	1
237	гу то сервис тула	0
238	департамент инвестиций и внешнеэкономической деятельности владимирской	0
239	департамент строительства и архитектуры городского округа самара	0
240	дренирующее покрытие при открытой лапаростоме реперен	0
241	кпп 	0
242	мбу защита населения и территории г новокузнецка	0
243	ооо школьный юрист	0
244	проект госзатраты	0
245	санаторий евпатория фсб россии официальный сайт	2
246	санаторий фнс южный	0
247	спб гку управление заказчика по строительству и капитальному ремонту	0
248	управление капитального строительства смоленской области	0
249	упрдор тамань анапа телефоны	0
250	филиал  фгку  военный клинический госпиталь мо рф стрельна	0
251	фку налогсервис фнс россии официальный сайт	2
252	фку объединенная дирекция по реализации федеральных инвестиционных программ	0
253	фку управление капитального строительства мчс россии	2
254	фмба и космос	0
255	цхто тольятти телефон	0
256	 цзз вв мвд россии	2
257		0
258		0
259	вч 	0
260	вч 	0
261	гбу автомобильные дороги  магистральная  вакансии	3
262	гбу автомобильные дороги цао	3
263	гбу ко мфц калужской области	3
264	гку дирекция по строительству и реконструкции догм	0
265	государственное казенное учреждение самарской области управление капитального строительства	0
266	дезз минздрава рф вакансии	0
267	детский сад исток смоленск	0
268	лицей государственной службы и управления г канаш	0
269	министерство дорожного хозяйства и транспорта челябинской области	0
270	мку центр управления городскими дорогами	0
271	модуль речевого оповещения пм мро	0
272	мфц красноармейского района самарской области	0
273	оао мосводоканал управление мосводосбыт	0
274	общественный контроль госзакупок	0
275	общество с ограниченной ответственностью гаруда групп	4
276	окдп по инн узнать	0
277	ооо газпромнефтькорпоративные продажи	0
278	оператором системы является санктпетербургское государственное унитарное предприятие санктпетербургский информационноаналитический центр	0
279	отдел образования вурнарского района чувашской республики	0
280	пластина  	0
281	производственнокоммерческое предприятие монолит	0
282	сайт отдела образования вурнарского района чувашской республики	0
283	санктпетербургское государственное казенное учреждение дирекция транспортного строительства	0
284	спз расшифровка	0
285	фгбу комплекс крым управления делами президента российской федерации	0
286	фгбу цниип минстроя россии	2
287	фгку вч 	0
288	фку цхисо гу мвд россии	2
289	фку цхисо гу мвд россии по челябинской области	2
290	цвмир березовая роща фкуз мсч мвд россии по г москве	2
291	ярославский кадетский колледж официальный сайт	0
292		0
293		0
294		0
295	ано институт профессиональных контрактных управляющих	0
296	вологда  вч  чебсара	0
297	гку рмр новости	0
298	гку яо безопасный регион ярославль	0
299	департамент государственного имущества и земельных отношений орел	0
300	донской спасательный центр мчс россии адрес	2
301	институт профессиональных контрактных управляющих	0
302	калининградский акцизный таможенный пост со статусом юридического лица	0
303	мбу центр итс ростовнадону	0
304	мосэкопром	0
305	налогсервис фнс россии	2
306	общество с ограниченной ответственностью автодор инн	4
307	огку центр по обеспечению деятельности тосзн иваново	0
308	опб мвд	0
309	росзатраты	0
310	санаторий алупка мвд россии в крыму	2
311	санаторий дагестан фсб россии	2
312	санаторий южный фнс	0
313	фгбу сзфмиц	0
314	фгбу фмицпн минздрава россии	2
315	фгку войсковая часть 	1
316	филиал  фгу гвкг им нн бурденко минобороны россии	2
317	фку гб мсэ по ростовской области минтруда россии	2
318	фку упрдор холмогоры официальный сайт	0
319	ямата ятырым иншаат туризм ве тиджарет аноним ширкети	0
320	яндекс официально рекомендует  поисковую оболочку	0
321	 цнии минобороны россии	2
322		0
323	аквапрофснаб	0
324	вч 	0
325	гбу автомобильные дороги реквизиты	3
326	гбуз рх ркрд	0
327	гку мосэкопром	0
328	государственное бюджетное учреждение города москвы спортивная школа русская горнолыжная школа  столица департамента физической культуры и спорта города москвы инн 	0
329	дом отдыха прибрежный фсб саки официальный сайт	0
330	дом отдыха фсб прибрежный саки официальный сайт	0
331	мастердом эксплуатация брянск	0
332	мбу волгоградзеленхоз	0
333	мбу развитие сергиев посад	0
334	мку ужкх октябрьского района г ростованадону	0
335	наумов христофор федорович розыск фсб	0
336	показать сайт госкорпорации росатом	0
337	порховский сельскохозяйственный техникум официальный сайт	0
338	руководитель мбу дорожное хозяйство	0
339	санаторий анапа фсб россии официальный сайт	2
340	спб гку управление заказчика официальный сайт	0
341	тендер технолоджи групп	0
342	тульский техникум социальных технологий	0
343	управление федеральных автомобильных дорог тамань	0
344	фгбу гнмц минобороны россии официальный сайт	2
345	федеральное государственное казенное учреждение войсковая часть 	1
346	фку гб мсэ по костромской области минтруда россии	2
347	фку гу во минфина россии официальный сайт	2
348	центр заказчиказастройщика внутренних войск мвд россии	2
349	что такое код оквэд организации по инн	0
350	 воинская часть	1
351	балтийская пожарная компания	0
352	войсковая часть  архангельск	1
353	гбу жилищник куркино официальный сайт	3
354	гбу жилищник района куркино	3
355	гбу мфц города москвы адрес	3
356	детский сад  воронеж	0
357	детский сад общеразвивающего вида красные камни фгбдоу	0
358	дирекция финансирования программ бдд что это	0
359	дом отдыха анапа  фсб россии	2
360	единая служба заказчика краснодар официальный сайт	0
361	зао централизованный региональный технический сервис	0
362	код по спз что это	0
363	мбу дорожное хозяйство самара	0
364	межрайонная ифнс россии  по ростовской области	2
365	ооо канцерна	0
366	поликлиника  фтс россии екатеринбург	2
367	поликлиника фтс ростовнадону	0
368	региональный ресурсный центр перспектива гусон то	0
369	реконструкция малого театра балтстрой	0
370	служба по контракту в фсб краснодар	0
371	спецтехуниверсал тамбов телефон	0
372	узнать код окдп по инн	0
373	упрдор тамань анапа	0
374	фгку  офпс по челябинской области	0
375	фку объединенная дирекция минстроя россии	2
376	централизованный региональный технический сервис	0
377	 оооквсервис	0
378		0
379	автобаза правительства республики марий эл	0
380	администрация ардатовского муниципального района республики мордовия	0
381	амурский спасательный центр мчс россии адрес	2
382	анализ госзакупок	0
383	аналитика госзакупок	0
384	вч  железнодорожный	0
385	вч 	0
386	войсковая часть 	1
387	войсковая часть 	1
388	газпромнефтькорпоративные продажи	0
389	гбу до тзф тинао	3
390	гбу мо центр земельноимущественного комплекса московской области	3
391	гку ампп реквизиты	0
392	гку безопасный город нижний новгород	0
393	гку кк автобаза огв	0
394	гку но безопасный город	0
395	гку яо безопасный регион	0
396	городилов валерий васильевич абакан	0
397	гу то сервис тула официальный сайт	0
398	гуп пи мосп отзывы	0
399	департамент информатизации и связи краснодарского края инн	0
400	детский сад сказка болотное	0
401	дирекция единого заказчика минсоцзащиты московской области	0
402	код организации в сводном перечне заказчиков	0
403	комитет по экономической политике и стратегическому планированию спб	0
404	комусристар москва сайт	0
405	краснодартранспроект	0
406	ку во управление автомобильных дорог вологодской области	0
407	мбуб октябрьского района г уфы	0
408	министерство строительства волгоградской области	0
409	мку центр управления городскими дорогами владимир	0
410	общество с ограниченной ответственностью синтез	4
411	общество с ограниченной ответственностью технострой	4
412	ооо канцтовары	0
413	ооо комусристар	0
414	поликлиника фтс ростовнадону адрес	0
415	санаторий южный фнс россии крым	2
416	фгбну ниисх юговостока	0
417	фгбу лечебнореабилитационный клинический центр минобороны россии	2
418	фгбу минмелиоводхоз рд	0
419	фгбу пфмиц минздрава россии	2
420	федеральное государственное казенное учреждение войсковая часть 	1
421	фку гб мсэ по тамбовской области минтруда россии	2
422	фку каспий астрахань	0
423	фку оск восточного военного округа	0
424	фку цхисо умвд россии по приморскому краю	2
425	центр социальных выплат нефтеюганск	0
426	центр спортивной подготовки по плаванию краснодар	0
427	 	0
428	ао мосводоканал управление мосводосбыт	0
429	вч  адрес	0
430	вентустановки срекуперацией  	0
431	войсковая часть 	1
432	войсковая часть 	1
433	восковая часть 	1
434	вуктылжилинвест	0
435	гау комплексный центр социального обслуживания населения невьянского района  официальный сайт	0
436	гбу автомобильные дороги цао отзывы	3
437	гбу автомобильные дороги юао	3
438	гбуз рб благовещенская црб официальный сайт	0
439	гбуз со сгкб 	0
440	гку безопасный регион ярославль официальный сайт	0
441	гку дагестанавтодор сайт	0
442	гку мац	0
443	гку удх рб официальный сайт	0
444	госзакупки 	0
445	госзатраты камелотт тверь	0
446	государственное казенное учреждение города москвы дирекция по эксплуатации движению и учету основных фондов департамента образования города москвы	0
447	государственное казенное учреждение ярославской области безопасный регион	0
448	гуп пи мосп отзывы сотрудников	0
449	департамент государственного жилищного надзора янао	0
450	дирекция государственного заказчика программ развития морского транспорта	0
451	дом культуры звезда саратов	0
452	дом отдыха подмосковье филиал фгку скк подмосковье минобороны россии	2
453	дом отдыха подмосковье филиал фгку скк подмосковье минобороны россии отзывы	2
454	единая служба заказчика краснодар	0
455	зао евро хоум билдинг официальный сайт	0
456	икшурминская кадетская школаинтернат	0
457	инн  кпп 	0
458	ип фраас екатерина викторовна	0
459	калугаоблэкспертиза официальный сайт	0
460	камводпуть	0
461	код спз заказчика это	0
462	контрактное агентство архангельской области	0
463	красноярский колледж сферы услуг и предпринимательства	0
464	красноярский колледж сферы услуг и предпринимательства	0
465	латышева елена юрьевна липецк биография	0
466	леноблэкспертиза	0
467	мбоу вурманкасинская оош д вурманкасы вурнарского района чувашская республика	0
468	мбу спецдорсервис тамбов официальный сайт	0
469	мбу спецтехуниверсал тамбов	0
470	мегалайн и министерство обороны	0
471	мку городское строительство обнинск	0
472	мку центр гражданской защиты ярославль	0
473	мку цхто тольятти	0
474	мру росалкогольрегулирования по приволжскому федеральному округу	0
475	оао оборонэнергосбыт	0
476	общество с ограниченной ответственностью комусристар	4
477	общество с ограниченной ответственностью спектр	4
478	ооо весы технические и аналитическиег санктпетербург	0
479	противочумный институт ставрополь	0
480	руденко кристиан сергеевич	0
481	санаторий дагестан фсб россии официальный сайт	2
482	служба в г сочи пу фсб россии по краснодарскому краю	2
483	специализированный дом ребенка  невельского 	0
484	таблица для поиска поставщиков	0
485	театр  на ленинском единственный поставщик	0
486	техглавстрой спб сайт	0
487	тихоокеанская мостостроительная компания инн	0
488	фгбу  центральный научноисследовательский институт министерства обороны российской федерации	0
489	фгбу гнмц минобороны россии	2
490	фгбу иац	0
491	фгбу сло россия	2
492	фгку комбинат заповедник росрезерва	0
493	фгу сайменский канал	0
494	филиал  фку уфо мо рф по москве и московской области	0
495	фку гцхтисо гу мвд россии по г москве	2
496	фку клинический санаторий прогресс фскн россии	2
497	фку ниц бдд мвд россии	2
498	центр заказчика застройщика внутренних войск мвд россии	2
499		0
500	 	0
501	автобаза правительства хабаровского края	0
502	административный департамент ивановской области официальный сайт	0
503	анжеросудженский психоневрологический интернат	0
504	волга проект сызрань хвалынская 	0
505	гбу безопасность дорожного движения республики татарстан	3
506	гбу мо мосавтодор реквизиты	3
507	гбуз нсо гкб  новосибирск	0
508	гкуз мнпц борьбы с туберкулезом дзм	0
509	госзакупки 	0
510	госзатрат	0
511	департамент транспорта и дорожного хозяйства новгородской области	0
512	департамент финансовобюджетного контроля курской области	0
513	дирекция департамента образования города москвы	0
514	дирекция единого заказчика минздрава московской области	0
515	дирекция по эксплуатации и капитальному ремонту департамента культуры	0
516	дом отдыха прибрежный саки официальный сайт	0
517	еврохоумбилдинг	0
518	забайкальский край доу березка лс ч	0
519	ивановский железнодорожный колледж официальный сайт	0
520	кгку противопожарная охрана красноярского края	0
521	куи раменского района	0
522	логовская сош калач на дону	0
523	минстрой московской области адрес	0
524	муромский дом интернат для престарелых и инвалидов	0
525	найти государственный контракт по номеру	0
526	нефтеюганская окружная клиническая больница имени вияцкив	0
527	облстройзаказчик кострома	0
528	общество с ограниченной ответственностью канцерна	4
529	общество с ограниченной ответственностью хорс	4
530	общество с ограниченной ответственностью  или 	4
531	огкоу для обучающихся воспитанников с ограниченными возможностями здоровья специальная коррекционная общеобразовательная школаинтернат   вида	0
532	окдп по инн	0
533	отдел образования янтиковского района чувашской республики	0
534	приволжское региональное командование внутренних войск мвд россии	2
535	самарамелиоводхоз	0
536	санаторий анапа фсб официальный сайт цены на  год	0
537	сдюсшор  калининского района санктпетербурга	0
538	ск реалист групп москва	0
539	служба заказчика краснодар	0
540	служба по контролю качества и лицензированию калининградской области	0
541	территориальная сервисная компания екатеринбург	0
542	управление благоустройства кировского района г ростованадону	0
543	упрдор каспий	0
544	фгбу фцссх минздрава россии г челябинск	2
545	фгбу центр геодезии картографии и ипд официальный сайт	0
546	фгку войсковая часть 	1
547	федеральное государственное казенное учреждение войсковая часть 	1
548	федеральное государственное казенное учреждение войсковая часть 	1
549	федеральное казенное учреждение войсковая часть 	1
550	федеральное казенное учреждение войсковая часть 	1
551	фку дирекция госзаказчика программ развития морского транспорта	0
552	фку тамань сайт	0
553	фку укс мчс россии	2
554	фку цхисо умвд россии по ярославской области	2
555	центр занятости в городе артем гранты	0
556	центр финансового обеспечения минобразования чувашии	0
557	центравтомагистраль	0
558	цои энергия фсо россии	2
559	 вч	0
560		0
561		0
562	 филиал  уфо мо рф по москве и московской области	0
563		0
564	абаканская мкб	0
565	автомобильные дороги юзао	0
566	ано институт профессиональных контрактных управляющих санктпетербург	0
567	башкирский научноисследовательский центр по пчеловодству и апитерапии	0
568	больница заключила договор с акционерным обществом медтехника	0
569	вч 	0
570	войсковая часть 	1
571	войсковая часть 	1
572	гбоу впо мгмсу им аи евдокимова минздрава россии	2
573	гбу бдд	3
574	гбу мо центр содействия развитию земельноимущественного комплекса мо	0
575	гбу спортивная школа косино москомспорта	3
576	гбуз дпб  дзм окопф	0
577	гбуз ло подпорожская мб	0
578	гбуз мо лрб 	0
579	гбуз мо моники им мф владимирского	0
580	гбуз но павловская црб	0
581	гбуз рх абаканская мкб	0
582	гбусово муромский дом  интернат для престарелых и инвалидов	0
583	гку управление заказчика	0
584	департамент дорожного хозяйства приморского края	0
585	детский сад  аленушка воскресенск отзывы	0
586	дирекция по строительству и реконструкции догм	0
587	железнодорожный колледж иваново официальный сайт	0
588	зао закаменск	0
589	защитная телескопическая трубка катетер	0
590	индисепт аква	0
591	ип врабие татьяна александровна	0
592	камское бву	0
593	коды спз	0
594	кольская строительная компания мурман	0
595	ку ур бдд ур	0
596	мку служба заказчика по строительству и капитальному ремонту сайт хабаровск	0
597	мку цоф департамента образования мэрии ярославля	0
598	мольгино смоленская область дом престарелых	0
599	мту ространснадзора по скфо	0
600	найти оквэд по инн	0
601	номер контракта	0
602	оао рэу	0
603	общество с ограниченной ответственностью горизонт	4
604	общество с ограниченной ответственностью меридиан	4
605	общество с ограниченной ответственностью полимед	4
606	общество с ограниченной ответственностью ринтаторг	4
607	общество с ограниченной ответственностью 	4
608	общество с ограниченной ответственностью тирион	4
609	объединенная дирекция по реализации федеральных инвестиционных программ	0
610	огбуз балаганская рб	0
611	ооо стройинвесткомплект санктпетербург	0
612	отслеживание госзакупок	0
613	пограничное управление фсб россии по краснодарскому краю	2
