	title	cluster
173	мку единая служба заказчика краснодар	1
174	общество с ограниченной ответственностью слк	6
175	общество с ограниченной ответственностью спектр	6
176	санаторий анапа фсб россии	1
177	фгбу  цнии минобороны россии официальный сайт	11
178	фгбу управление самарамелиоводхоз	12
179	центр помощи детям оставшимся без попечения родителей г псков	4
180	безопасный регион ярославль	1
181	бюджеты регионов россии  таблица	9
182	гбу автомобильные дороги	1
183	департамент по недропользованию по центральносибирскому округу	1
184	наборы для закрытия пункционного отверстия   штуп	1
185	проект планировки северозападной части станицы должанской должанского сельского поселения ейского района	5
186	управление мосводосбыт филиал оао мосводоканал	1
187	фбу цсм калужской области	10
188	фку гу во минфина россии	9
189	фку упрдор тамань сайт	9
190	 цнии минобороны россии официальный сайт	11
191	вч 	1
192	гбу автомобильные дороги ювао официальный сайт	11
193	евро хоум билдинг	1
194	ип журавлев александр станиславович	1
195	код инн	3
196	ку рк управтодор рк	1
197	мбу защита и безопасность ростовнадону	1
198	мбу сду мо го воркута	1
199	мбу управление защиты от чс таганрог	1
200	мбу центр итс ростовнадону сайт	4
201	общество с ограниченной ответственностью комусристар	6
202	фгку вч 	1
203	войсковая часть 	7
204	дирекция транспортного строительства спб гу дтс официальный сайт	11
205	ип оболонина лариса викторовна	1
206	кубинская школа  имени ткаченко официальный сайт	11
207	мбу центр обеспечения самара	4
208	мку управление благоустройства кировского района г ростованадону	5
209	огкусо цог тср и скл и са для лиц бомж	1
210	спз организации	1
211	управление капитального строительства самарской области	10
212	федеральная служба по надзор в сфере почта связи кемеровской области	10
213	фку гб мсэ по г санктпетербургу минтруда россии	9
214	фку гу во минфина россии	9
215	фку упрдор тамань вакансии	9
216	войсковая часть 	7
217	войсковая часть 	7
218	гбу бниц по пчеловодству и апитерапии	1
219	гку дирекция финансирования научных и образовательных программ бдд рт	2
220	гку мо дирекция единого заказчика минсоцзащиты мо	1
221	ивановский железнодорожный колледж	1
222	кгку лесная охрана красноярский край	1
223	клеарспендинг	1
224	комусристар	1
225	мостотрест сервис	1
226	предметы роскоши по законодательству	1
227	упрдор кавказ	1
228	усрдис администрации гуфы официальный сайт	11
229	фблпу санаторий южный	1
230	фгбу комплекс крым	12
231	фгбу цас кемеровский	12
232		1
233	вч  что за часть	7
234	вч 	1
235	войсковая часть 	7
236	войсковая часть 	7
237	гу то сервис тула	1
238	департамент инвестиций и внешнеэкономической деятельности владимирской	1
239	департамент строительства и архитектуры городского округа самара	1
240	дренирующее покрытие при открытой лапаростоме реперен	1
241	кпп 	1
242	мбу защита населения и территории г новокузнецка	1
243	ооо школьный юрист	14
244	проект госзатраты	1
245	санаторий евпатория фсб россии официальный сайт	11
246	санаторий фнс южный	1
247	спб гку управление заказчика по строительству и капитальному ремонту	2
248	управление капитального строительства смоленской области	10
249	упрдор тамань анапа телефоны	1
250	филиал  фгку  военный клинический госпиталь мо рф стрельна	1
251	фку налогсервис фнс россии официальный сайт	11
252	фку объединенная дирекция по реализации федеральных инвестиционных программ	9
253	фку управление капитального строительства мчс россии	9
254	фмба и космос	1
255	цхто тольятти телефон	1
256	 цзз вв мвд россии	1
257		1
258		1
259	вч 	1
260	вч 	1
261	гбу автомобильные дороги  магистральная  вакансии	1
262	гбу автомобильные дороги цао	1
263	гбу ко мфц калужской области	10
264	гку дирекция по строительству и реконструкции догм	2
265	государственное казенное учреждение самарской области управление капитального строительства	10
266	дезз минздрава рф вакансии	1
267	детский сад исток смоленск	13
268	лицей государственной службы и управления г канаш	1
269	министерство дорожного хозяйства и транспорта челябинской области	10
270	мку центр управления городскими дорогами	4
271	модуль речевого оповещения пм мро	1
272	мфц красноармейского района самарской области	5
273	оао мосводоканал управление мосводосбыт	1
274	общественный контроль госзакупок	1
275	общество с ограниченной ответственностью гаруда групп	6
276	окдп по инн узнать	3
277	ооо газпромнефтькорпоративные продажи	14
278	оператором системы является санктпетербургское государственное унитарное предприятие санктпетербургский информационноаналитический центр	4
279	отдел образования вурнарского района чувашской республики	5
280	пластина  	1
281	производственнокоммерческое предприятие монолит	1
282	сайт отдела образования вурнарского района чувашской республики	5
283	санктпетербургское государственное казенное учреждение дирекция транспортного строительства	1
284	спз расшифровка	1
285	фгбу комплекс крым управления делами президента российской федерации	12
286	фгбу цниип минстроя россии	12
287	фгку вч 	1
288	фку цхисо гу мвд россии	9
289	фку цхисо гу мвд россии по челябинской области	9
290	цвмир березовая роща фкуз мсч мвд россии по г москве	1
291	ярославский кадетский колледж официальный сайт	11
292		1
293		1
294		1
295	ано институт профессиональных контрактных управляющих	1
296	вологда  вч  чебсара	1
297	гку рмр новости	2
298	гку яо безопасный регион ярославль	2
299	департамент государственного имущества и земельных отношений орел	1
300	донской спасательный центр мчс россии адрес	4
301	институт профессиональных контрактных управляющих	1
302	калининградский акцизный таможенный пост со статусом юридического лица	1
303	мбу центр итс ростовнадону	4
304	мосэкопром	1
305	налогсервис фнс россии	9
306	общество с ограниченной ответственностью автодор инн	6
307	огку центр по обеспечению деятельности тосзн иваново	4
308	опб мвд	1
309	росзатраты	1
310	санаторий алупка мвд россии в крыму	1
311	санаторий дагестан фсб россии	1
312	санаторий южный фнс	1
313	фгбу сзфмиц	12
314	фгбу фмицпн минздрава россии	12
315	фгку войсковая часть 	7
316	филиал  фгу гвкг им нн бурденко минобороны россии	1
317	фку гб мсэ по ростовской области минтруда россии	9
318	фку упрдор холмогоры официальный сайт	11
319	ямата ятырым иншаат туризм ве тиджарет аноним ширкети	1
320	яндекс официально рекомендует  поисковую оболочку	11
321	 цнии минобороны россии	9
322		1
323	аквапрофснаб	1
324	вч 	1
325	гбу автомобильные дороги реквизиты	1
326	гбуз рх ркрд	8
327	гку мосэкопром	2
328	государственное бюджетное учреждение города москвы спортивная школа русская горнолыжная школа  столица департамента физической культуры и спорта города москвы инн 	1
329	дом отдыха прибрежный фсб саки официальный сайт	11
330	дом отдыха фсб прибрежный саки официальный сайт	11
331	мастердом эксплуатация брянск	1
332	мбу волгоградзеленхоз	1
333	мбу развитие сергиев посад	1
334	мку ужкх октябрьского района г ростованадону	5
335	наумов христофор федорович розыск фсб	1
336	показать сайт госкорпорации росатом	11
337	порховский сельскохозяйственный техникум официальный сайт	11
338	руководитель мбу дорожное хозяйство	1
339	санаторий анапа фсб россии официальный сайт	11
340	спб гку управление заказчика официальный сайт	11
341	тендер технолоджи групп	1
342	тульский техникум социальных технологий	1
343	управление федеральных автомобильных дорог тамань	1
344	фгбу гнмц минобороны россии официальный сайт	11
345	федеральное государственное казенное учреждение войсковая часть 	7
346	фку гб мсэ по костромской области минтруда россии	9
347	фку гу во минфина россии официальный сайт	11
348	центр заказчиказастройщика внутренних войск мвд россии	4
349	что такое код оквэд организации по инн	3
350	 воинская часть	7
351	балтийская пожарная компания	1
352	войсковая часть  архангельск	7
353	гбу жилищник куркино официальный сайт	11
354	гбу жилищник района куркино	5
355	гбу мфц города москвы адрес	1
356	детский сад  воронеж	13
357	детский сад общеразвивающего вида красные камни фгбдоу	13
358	дирекция финансирования программ бдд что это	1
359	дом отдыха анапа  фсб россии	1
360	единая служба заказчика краснодар официальный сайт	11
361	зао централизованный региональный технический сервис	1
362	код по спз что это	1
363	мбу дорожное хозяйство самара	1
364	межрайонная ифнс россии  по ростовской области	10
365	ооо канцерна	14
366	поликлиника  фтс россии екатеринбург	9
367	поликлиника фтс ростовнадону	1
368	региональный ресурсный центр перспектива гусон то	4
369	реконструкция малого театра балтстрой	1
370	служба по контракту в фсб краснодар	1
371	спецтехуниверсал тамбов телефон	1
372	узнать код окдп по инн	3
373	упрдор тамань анапа	1
374	фгку  офпс по челябинской области	10
375	фку объединенная дирекция минстроя россии	9
376	централизованный региональный технический сервис	1
377	 оооквсервис	1
378		1
379	автобаза правительства республики марий эл	1
380	администрация ардатовского муниципального района республики мордовия	5
381	амурский спасательный центр мчс россии адрес	4
382	анализ госзакупок	1
383	аналитика госзакупок	1
384	вч  железнодорожный	1
385	вч 	1
386	войсковая часть 	7
387	войсковая часть 	7
388	газпромнефтькорпоративные продажи	1
389	гбу до тзф тинао	1
390	гбу мо центр земельноимущественного комплекса московской области	10
391	гку ампп реквизиты	2
392	гку безопасный город нижний новгород	2
393	гку кк автобаза огв	2
394	гку но безопасный город	2
395	гку яо безопасный регион	2
396	городилов валерий васильевич абакан	1
397	гу то сервис тула официальный сайт	11
398	гуп пи мосп отзывы	1
399	департамент информатизации и связи краснодарского края инн	3
400	детский сад сказка болотное	13
401	дирекция единого заказчика минсоцзащиты московской области	10
402	код организации в сводном перечне заказчиков	1
403	комитет по экономической политике и стратегическому планированию спб	1
404	комусристар москва сайт	11
405	краснодартранспроект	1
406	ку во управление автомобильных дорог вологодской области	10
407	мбуб октябрьского района г уфы	5
408	министерство строительства волгоградской области	10
409	мку центр управления городскими дорогами владимир	4
410	общество с ограниченной ответственностью синтез	6
411	общество с ограниченной ответственностью технострой	6
412	ооо канцтовары	14
413	ооо комусристар	14
414	поликлиника фтс ростовнадону адрес	1
415	санаторий южный фнс россии крым	1
416	фгбну ниисх юговостока	1
417	фгбу лечебнореабилитационный клинический центр минобороны россии	12
418	фгбу минмелиоводхоз рд	12
419	фгбу пфмиц минздрава россии	12
420	федеральное государственное казенное учреждение войсковая часть 	7
421	фку гб мсэ по тамбовской области минтруда россии	9
422	фку каспий астрахань	9
423	фку оск восточного военного округа	9
424	фку цхисо умвд россии по приморскому краю	9
425	центр социальных выплат нефтеюганск	4
426	центр спортивной подготовки по плаванию краснодар	4
427	 	1
428	ао мосводоканал управление мосводосбыт	1
429	вч  адрес	1
430	вентустановки срекуперацией  	1
431	войсковая часть 	7
432	войсковая часть 	7
433	восковая часть 	7
434	вуктылжилинвест	1
435	гау комплексный центр социального обслуживания населения невьянского района  официальный сайт	11
436	гбу автомобильные дороги цао отзывы	1
437	гбу автомобильные дороги юао	1
438	гбуз рб благовещенская црб официальный сайт	11
439	гбуз со сгкб 	8
440	гку безопасный регион ярославль официальный сайт	11
441	гку дагестанавтодор сайт	2
442	гку мац	2
443	гку удх рб официальный сайт	11
444	госзакупки 	1
445	госзатраты камелотт тверь	1
446	государственное казенное учреждение города москвы дирекция по эксплуатации движению и учету основных фондов департамента образования города москвы	1
447	государственное казенное учреждение ярославской области безопасный регион	10
448	гуп пи мосп отзывы сотрудников	1
449	департамент государственного жилищного надзора янао	1
450	дирекция государственного заказчика программ развития морского транспорта	1
451	дом культуры звезда саратов	1
452	дом отдыха подмосковье филиал фгку скк подмосковье минобороны россии	1
453	дом отдыха подмосковье филиал фгку скк подмосковье минобороны россии отзывы	1
454	единая служба заказчика краснодар	1
455	зао евро хоум билдинг официальный сайт	11
456	икшурминская кадетская школаинтернат	1
457	инн  кпп 	3
458	ип фраас екатерина викторовна	1
459	калугаоблэкспертиза официальный сайт	11
460	камводпуть	1
461	код спз заказчика это	1
462	контрактное агентство архангельской области	10
463	красноярский колледж сферы услуг и предпринимательства	1
464	красноярский колледж сферы услуг и предпринимательства	1
465	латышева елена юрьевна липецк биография	1
466	леноблэкспертиза	1
467	мбоу вурманкасинская оош д вурманкасы вурнарского района чувашская республика	5
468	мбу спецдорсервис тамбов официальный сайт	11
469	мбу спецтехуниверсал тамбов	1
470	мегалайн и министерство обороны	1
471	мку городское строительство обнинск	1
472	мку центр гражданской защиты ярославль	4
473	мку цхто тольятти	1
474	мру росалкогольрегулирования по приволжскому федеральному округу	1
475	оао оборонэнергосбыт	1
476	общество с ограниченной ответственностью комусристар	6
477	общество с ограниченной ответственностью спектр	6
478	ооо весы технические и аналитическиег санктпетербург	14
479	противочумный институт ставрополь	1
480	руденко кристиан сергеевич	1
481	санаторий дагестан фсб россии официальный сайт	11
482	служба в г сочи пу фсб россии по краснодарскому краю	1
483	специализированный дом ребенка  невельского 	1
484	таблица для поиска поставщиков	1
485	театр  на ленинском единственный поставщик	1
486	техглавстрой спб сайт	11
487	тихоокеанская мостостроительная компания инн	3
488	фгбу  центральный научноисследовательский институт министерства обороны российской федерации	12
489	фгбу гнмц минобороны россии	12
490	фгбу иац	12
491	фгбу сло россия	12
492	фгку комбинат заповедник росрезерва	0
493	фгу сайменский канал	1
494	филиал  фку уфо мо рф по москве и московской области	10
495	фку гцхтисо гу мвд россии по г москве	9
496	фку клинический санаторий прогресс фскн россии	9
497	фку ниц бдд мвд россии	9
498	центр заказчика застройщика внутренних войск мвд россии	4
499		1
500	 	1
501	автобаза правительства хабаровского края	1
502	административный департамент ивановской области официальный сайт	11
503	анжеросудженский психоневрологический интернат	1
504	волга проект сызрань хвалынская 	1
505	гбу безопасность дорожного движения республики татарстан	1
506	гбу мо мосавтодор реквизиты	1
507	гбуз нсо гкб  новосибирск	8
508	гкуз мнпц борьбы с туберкулезом дзм	1
509	госзакупки 	1
510	госзатрат	1
511	департамент транспорта и дорожного хозяйства новгородской области	10
512	департамент финансовобюджетного контроля курской области	10
513	дирекция департамента образования города москвы	1
514	дирекция единого заказчика минздрава московской области	10
515	дирекция по эксплуатации и капитальному ремонту департамента культуры	1
516	дом отдыха прибрежный саки официальный сайт	11
517	еврохоумбилдинг	1
518	забайкальский край доу березка лс ч	1
519	ивановский железнодорожный колледж официальный сайт	11
520	кгку противопожарная охрана красноярского края	1
521	куи раменского района	5
522	логовская сош калач на дону	1
523	минстрой московской области адрес	10
524	муромский дом интернат для престарелых и инвалидов	1
525	найти государственный контракт по номеру	1
526	нефтеюганская окружная клиническая больница имени вияцкив	1
527	облстройзаказчик кострома	1
528	общество с ограниченной ответственностью канцерна	6
529	общество с ограниченной ответственностью хорс	6
530	общество с ограниченной ответственностью  или 	6
531	огкоу для обучающихся воспитанников с ограниченными возможностями здоровья специальная коррекционная общеобразовательная школаинтернат   вида	1
532	окдп по инн	3
533	отдел образования янтиковского района чувашской республики	5
534	приволжское региональное командование внутренних войск мвд россии	1
535	самарамелиоводхоз	1
536	санаторий анапа фсб официальный сайт цены на  год	11
537	сдюсшор  калининского района санктпетербурга	5
538	ск реалист групп москва	1
539	служба заказчика краснодар	1
540	служба по контролю качества и лицензированию калининградской области	10
541	территориальная сервисная компания екатеринбург	1
542	управление благоустройства кировского района г ростованадону	5
543	упрдор каспий	1
544	фгбу фцссх минздрава россии г челябинск	12
545	фгбу центр геодезии картографии и ипд официальный сайт	11
546	фгку войсковая часть 	7
547	федеральное государственное казенное учреждение войсковая часть 	7
548	федеральное государственное казенное учреждение войсковая часть 	7
549	федеральное казенное учреждение войсковая часть 	7
550	федеральное казенное учреждение войсковая часть 	7
551	фку дирекция госзаказчика программ развития морского транспорта	9
552	фку тамань сайт	9
553	фку укс мчс россии	9
554	фку цхисо умвд россии по ярославской области	9
555	центр занятости в городе артем гранты	4
556	центр финансового обеспечения минобразования чувашии	4
557	центравтомагистраль	1
558	цои энергия фсо россии	9
559	 вч	1
560		1
561		1
562	 филиал  уфо мо рф по москве и московской области	10
563		1
564	абаканская мкб	1
565	автомобильные дороги юзао	1
566	ано институт профессиональных контрактных управляющих санктпетербург	1
567	башкирский научноисследовательский центр по пчеловодству и апитерапии	4
568	больница заключила договор с акционерным обществом медтехника	1
569	вч 	1
570	войсковая часть 	7
571	войсковая часть 	7
572	гбоу впо мгмсу им аи евдокимова минздрава россии	12
573	гбу бдд	1
574	гбу мо центр содействия развитию земельноимущественного комплекса мо	1
575	гбу спортивная школа косино москомспорта	1
576	гбуз дпб  дзм окопф	8
577	гбуз ло подпорожская мб	8
578	гбуз мо лрб 	8
579	гбуз мо моники им мф владимирского	8
580	гбуз но павловская црб	8
581	гбуз рх абаканская мкб	8
582	гбусово муромский дом  интернат для престарелых и инвалидов	1
583	гку управление заказчика	2
584	департамент дорожного хозяйства приморского края	1
585	детский сад  аленушка воскресенск отзывы	13
586	дирекция по строительству и реконструкции догм	1
587	железнодорожный колледж иваново официальный сайт	11
588	зао закаменск	1
589	защитная телескопическая трубка катетер	1
590	индисепт аква	1
591	ип врабие татьяна александровна	1
592	камское бву	1
593	коды спз	1
594	кольская строительная компания мурман	1
595	ку ур бдд ур	1
596	мку служба заказчика по строительству и капитальному ремонту сайт хабаровск	1
597	мку цоф департамента образования мэрии ярославля	1
598	мольгино смоленская область дом престарелых	10
599	мту ространснадзора по скфо	1
600	найти оквэд по инн	3
601	номер контракта	1
602	оао рэу	1
603	общество с ограниченной ответственностью горизонт	6
604	общество с ограниченной ответственностью меридиан	6
605	общество с ограниченной ответственностью полимед	6
606	общество с ограниченной ответственностью ринтаторг	6
607	общество с ограниченной ответственностью 	6
608	общество с ограниченной ответственностью тирион	6
609	объединенная дирекция по реализации федеральных инвестиционных программ	1
610	огбуз балаганская рб	1
611	ооо стройинвесткомплект санктпетербург	14
